

Aggregate (daily) Report generated 6/22/2016 5:19:53 PM [Digital]

Watershed 63 (Walnut Gulch)
Gages: 1-5,7-72,74,76,79-83,87-92,100
For the period 1/1/2000 to 12/31/2016
For all months
Depth in millimeters.
Year 	Month 	Day 	Gage 1 	Gage 2 	Gage 3 	Gage 4 	Gage 5 	Gage 7 	Gage 8 	Gage 9 	Gage 10 	Gage 11 	Gage 12 	Gage 13 	Gage 14 	Gage 15 	Gage 16 	Gage 17 	Gage 18 	Gage 19 	Gage 20 	Gage 21 	Gage 22 	Gage 23 	Gage 24 	Gage 25 	Gage 26 	Gage 27 	Gage 28 	Gage 29 	Gage 30 	Gage 31 	Gage 32 	Gage 33 	Gage 34 	Gage 35 	Gage 36 	Gage 37 	Gage 38 	Gage 39 	Gage 40 	Gage 41 	Gage 42 	Gage 43 	Gage 44 	Gage 45 	Gage 46 	Gage 47 	Gage 48 	Gage 49 	Gage 50 	Gage 51 	Gage 52 	Gage 53 	Gage 54 	Gage 55 	Gage 56 	Gage 57 	Gage 58 	Gage 59 	Gage 60 	Gage 61 	Gage 62 	Gage 63 	Gage 64 	Gage 65 	Gage 66 	Gage 67 	Gage 68 	Gage 69 	Gage 70 	Gage 71 	Gage 72 	Gage 74 	Gage 76 	Gage 79 	Gage 80 	Gage 81 	Gage 82 	Gage 83 	Gage 87 	Gage 88 	Gage 89 	Gage 90 	Gage 91 	Gage 92 	Gage 100
2000 	1 	1 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.381 	0.00 	0.00 	0.00 	1.270 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
2000 	1 	2 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.508 	0.00 	0.00 	0.00 	0.254 	0.254 	0.254 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.381 	0.00
2000 	1 	27 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
2000 	1 	29 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
2000 	2 	21 	3.048 	0.00 	1.397 	1.016 	1.016 	1.524 	1.397 	1.524 	1.778 	2.667 	1.905 	2.667 	1.778 	3.048 	2.921 	1.143 	0.889 	0.635 	0.635 	1.778 	1.778 	1.143 	1.143 	1.016 	1.143 	1.270 	1.016 	1.524 	2.667 	1.651 	1.143 	0.889 	1.143 	1.778 	2.794 	0.889 	1.778 	1.905 	2.413 	3.302 	0.762 	2.286 	2.667 	3.048 	0.508 	0.508 	0.00 	0.00 	2.032 	2.667 	1.524 	0.889 	0.762 	0.00 	0.635 	1.143 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.143 	0.00 	1.651 	1.397 	1.905 	1.143 	0.889 	0.00 	1.397 	1.270 	1.143 	2.286 	2.159 	0.254 	2.159 	0.00
2000 	2 	22 	0.762 	0.00 	1.016 	1.397 	1.905 	1.778 	2.286 	3.175 	2.032 	2.794 	2.921 	4.064 	5.461 	3.683 	4.064 	5.715 	5.334 	7.239 	6.096 	5.969 	5.842 	5.969 	5.715 	8.255 	8.763 	5.715 	6.858 	8.509 	8.636 	6.223 	5.969 	6.985 	8.636 	6.858 	7.239 	5.842 	5.715 	6.223 	7.366 	8.509 	5.080 	5.715 	8.128 	9.779 	5.715 	4.445 	3.683 	3.429 	7.112 	7.112 	10.922 	7.493 	10.795 	7.493 	8.128 	11.176 	4.826 	3.556 	5.588 	4.826 	4.445 	3.937 	6.985 	5.461 	4.572 	6.985 	5.842 	7.239 	5.842 	6.858 	5.969 	5.334 	1.905 	4.953 	6.223 	7.874 	6.096 	5.080 	5.715 	10.160 	6.604 	7.874 	7.620 	1.524 	4.191
2000 	2 	24 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00
2000 	3 	5 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.254 	0.00 	0.00 	0.00 	0.254 	0.254 	0.254 	0.254 	0.254 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00 	0.00 	0.00 	0.00 	0.254 	0.00 	0.00
2000 	3 	6 	6.477 	7.620 	6.223 	6.350 	7.747 	5.969 	6.604 	6.604 	6.604 	5.715 	5.715 	6.604 	6.604 	5.334 	5.588 	5.715 	6.858 	6.604 	5.207 	5.334 	5.461 	5.461 	6.350 	6.223 	7.493 	5.461 	4.953 	5.588 	6.223 	4.953 	5.207 	4.699 	5.969 	4.572 	4.826 	4.953 	3.683 	4.064 	4.572 	4.826 	4.953 	3.556 	3.302 	4.191 	4.445 	4.572 	4.191 	4.064 	3.175 	3.556 	2.921 	4.445 	2.032 	1.905 	3.556 	2.667 	2.921 	2.667 	2.159 	2.413 	1.778 	2.667 	1.778 	1.778 	1.778 	1.524 	1.270 	1.016 	0.762 	4.953 	2.667 	4.826 	7.493 	6.350 	4.826 	5.334 	2.286 	5.207 	4.318 	2.286 	3.302 	3.175 	1.524 	7.874 	5.207
2000 	3 	7 	2.032 	2.667 	1.143 	1.270 	2.540 	1.524 	1.778 	1.524 	1.016 	1.778 	1.397 	1.270 	1.016 	1.524 	1.524 	1.524 	1.651 	1.016 	0.254 	1.651 	1.651 	1.270 	1.016 	1.524 	1.016 	1.016 	1.905 	1.524 	1.270 	1.270 	0.762 	0.762 	1.905 	1.270 	1.270 	1.270 	1.524 	0.889 	1.270 	1.270 	1.016 	1.778 	1.016 	1.270 	1.270 	1.016 	1.143 	1.016 	1.524 	1.270 	1.524 	2.921 	1.778 	1.524 	2.032 	1.651 	1.524 	1.270 	1.016 	1.016 	1.905 	1.270 	1.651 	0.762 	1.016 	1.778 	0.762 	2.413 	2.159 	1.016 	1.524 	2.032 	1.778 	1.778 	1.016 	1.397 	1.397 	1.270 	1.143 	1.397 	0.762 	1.270 	1.270 	2.286 	1.016
